	craspi01	craspi02	craspi03	craspi04	craspi05	craspi06	craspi07	craspi08	craspi09	craspi10
2017-01-06 15:06:19	42.8125	41.1875	40.59375	42.1875	41.1875	42.1875	42.1875	41.6875	43.3125	41.1875
2017-01-06 15:07:23	42.1875	41.1875	40.59375	42.1875	41.1875	42.1875	42.1875	42.1875	43.3125	41.6875
2017-01-06 15:08:26	42.8125	41.1875	40.59375	42.1875	41.1875	42.1875	41.6875	42.1875	42.1875	41.1875
2017-01-06 15:09:29	42.8125	41.1875	41.1875	42.1875	41.1875	42.1875	41.1875	41.6875	43.3125	41.1875
2017-01-06 15:10:33	46.0	43.90625	42.8125	44.90625	43.3125	44.40625	44.40625	44.40625	46.0	43.3125
2017-01-06 15:11:36	48.1875	46.0	44.40625	47.09375	46.0	46.5	46.5	46.0	47.09375	45.5
2017-01-06 15:12:39	44.40625	43.3125	41.6875	44.40625	43.3125	44.40625	43.90625	43.3125	44.90625	43.3125
2017-01-06 15:13:42	43.3125	42.1875	42.1875	43.3125	42.1875	43.3125	43.3125	42.8125	43.90625	42.1875
2017-01-06 15:14:46	43.3125	42.1875	41.6875	43.3125	42.1875	42.8125	42.8125	42.1875	44.40625	42.1875
2017-01-06 15:15:49	43.3125	42.1875	41.1875	42.1875	42.1875	42.8125	43.3125	42.8125	43.3125	42.1875
2017-01-06 15:16:52	43.3125	41.6875	41.1875	42.8125	42.1875	42.8125	42.1875	42.1875	43.3125	41.1875
